Have you noticed bias against women?,,,,Do you think bias against women is an important issue?,Rate on scale 1-10 on importance of bias against women,Before presentation: how likely were you to recognize and react to bias against women?,After�presentation: how likely were you to recognize and react to bias against women?,Are you willing to share your experiences at TAMU?,Preferred Method of sharing,Gender,Ethnicity,What slogan/hashtag would you suggest to combat bias at TAMU?,Comments
Anywhere,At TAMU,In College of Engineering,In ENGR 111/112,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Open-Ended Response
Often,Sometimes,Sometimes,Sometimes,Yes,8,Sometimes,Often,No,,Male,Caucasian,#allequal,
Sometimes,Rarely,Rarely,Never,Yes,8,Sometimes,,,,,,,
Never,Never,Never,Never,No,,Rarely,Often,No,,Male,Caucasian,,
Sometimes,Rarely,Never,Never,Yes,6,Rarely,Sometimes,No,,,,,
Never,Never,Never,Never,No,2,Rarely,Rarely,No,,Male,Hispanic,,
Rarely,Never,Never,Never,Yes,5,Often,Often,No,,,,,
Rarely,Never,Never,Never,Yes,7,Sometimes,Often,No,,,,,
Never,Never,Never,Never,Yes,2,Rarely,Rarely,No,,,,,
Sometimes,Never,Never,Never,No,,Rarely,Sometimes,Yes,Schedule meeting with Shawna,Male,Hispanic,,
Never,Never,Never,Never,No,,Never,Never,No,,Male,Caucasian,,
Rarely,Rarely,Never,Never,,3,Rarely,Rarely,No,,,,,
Sometimes,Never,Never,Never,Yes,5,Rarely,Sometimes,,Email Shawna,Male,Hispanic,,
Sometimes,Rarely,Rarely,Never,Yes,6,Rarely,Sometimes,Yes,Social media,Male,Caucasian,,
Sometimes,Rarely,Never,Never,Yes,5,Rarely,Rarely,,Email Shawna,Male,Hispanic,,
Rarely,Never,Never,Never,Yes,1,Sometimes,Never,No,,,,,
Rarely,Rarely,Never,Never,Yes,7,Rarely,Rarely,No,,Female,Caucasian,,
Never,Never,Never,Never,Yes,7,Rarely,,No,,,,,
Often,Sometimes,Sometimes,Sometimes,Yes,10,Sometimes,Sometimes,No,,Female,Caucasian,,
Often,Sometimes,Sometimes,Sometimes,Yes,7,Sometimes,Often,No,,Male,Caucasian,#westandtogether,
Rarely,Rarely,Never,Never,Yes,8,Rarely,Rarely,Yes,Social media,Male,Caucasian,,
Sometimes,Rarely,Rarely,Never,Yes,6,Sometimes,Often,No,,Male,Asian,,
Never,Never,Rarely,Rarely,Yes,7,Sometimes,Often,No,,Male,Asian,,
Sometimes,Rarely,Never,Never,Yes,9,Sometimes,Often,No,,Female,Caucasian,,
Rarely,Never,Never,Never,Yes,9,Rarely,Sometimes,Yes,Email Shawna,Male,Hispanic,Respect,
Rarely,Rarely,Rarely,Rarely,Yes,5,Rarely,Sometimes,No,Social media,Male,Caucasian,,all 4 preferred methods
Sometimes,Rarely,Sometimes,Sometimes,Yes,6,Rarely,Sometimes,No,Social media,Female,Caucasian,,
Often,Rarely,Sometimes,Rarely,Yes,7,Sometimes,Often,No,,Female,Caucasian,,
Sometimes,Rarely,Never,Never,Yes,10,Rarely,Sometimes,No,,Female,Caucasian,,
Sometimes,Rarely,Rarely,Never,,,Rarely,Sometimes,Yes,Social media,Male,Hispanic,,
Sometimes,Rarely,Never,Never,Yes,7,Sometimes,Sometimes,Yes,Email Shawna,,,,
Sometimes,Rarely,Never,Never,Yes,10,Sometimes,Sometimes,No,,Male,Hispanic,,
Sometimes,Sometimes,Rarely,Never,Yes,4,Often,Often,Yes,Social media,,,,
Sometimes,Rarely,Rarely,Never,Yes,6,Sometimes,Often,No,,Male,,,
Rarely,Never,Never,Never,Yes,7,Sometimes,Sometimes,No,,Male,Hispanic,,
Sometimes,Rarely,Never,Never,Yes,9,Often,Often,Yes,Social media,Male,Caucasian,,
Sometimes,Never,Never,Never,Yes,7,Sometimes,Sometimes,No,,Male,Hispanic,#byetobias,
Never,Never,Never,Never,Yes,,Rarely,Sometimes,No,Email Shawna,Male,Caucasian,,
Sometimes,Rarely,Never,Never,Yes,9,Sometimes,Often,No,,Female,Asian,We are all human,
Sometimes,Never,Never,Never,Yes,10,Often,Often,Yes,Social media,Female,Asian,#equalityatTAMU,
Rarely,Rarely,Rarely,Never,Yes,6,Rarely,Sometimes,No,,Female,Asian,,
Often,Never,Never,Never,Yes,10,Rarely,Sometimes,Yes,Social media,,,Bias is virus,
Often,Never,Never,Never,Yes,7,Rarely,Rarely,No,,Female,,,
Rarely,Sometimes,Rarely,Rarely,Yes,7,Rarely,Sometimes,,Social media,Male,Asian,,
,,,,,10,Often,Never,,,,,,This talk was very offensive and deceptive. It is very important but not in the this survey implies. My mom is a stay at home mom and she is constantly experiences biases against her because of what she does
Sometimes,Rarely,Never,Never,Yes,7,Sometimes,Sometimes,,Social media,,,,
